Elecció;Any;% CUP;NUM_ELECTORS;% VOX;% PSC;VOTS_CANDIDATURES;PP;Junts;% Aliança;CDIS;% PACMA;% Cs;Participació;CUP;ERC;CSEC;% Comuns;Districte;VOX;PSC;Cs;% ERC;% Junts;% PP;Secció;Comuns;Aliança;PACMA;CUSEC;Altres;% Altres
Parlament;2024;5.03%;1079;3.31%;11.24%;756;44;379;3.84%;1;0.53%;0.13%;70.06%;38;87;1;4.37%;1;25;85;1;11.51%;50.13%;5.82%;1;33;29;4;827901001;31;4.10%
Parlament;2024;4.37%;1094;11.60%;31.63%;664;68;100;4.07%;3;1.81%;0.30%;60.69%;29;89;2;5.42%;3;77;210;2;13.40%;15.06%;10.24%;2;36;27;12;827903002;14;2.11%
Parlament;2024;1.08%;1496;22.37%;33.02%;742;85;46;2.56%;2;2.43%;1.62%;49.60%;8;73;14;5.66%;2;166;245;12;9.84%;6.20%;11.46%;14;42;19;18;827902014;28;3.77%
Parlament;2024;1.75%;1513;20.30%;47.18%;744;64;12;1.34%;7;1.21%;1.48%;49.17%;13;47;2;7.39%;7;151;351;11;6.32%;1.61%;8.60%;2;55;10;9;827907002;21;2.82%
Parlament;2024;2.45%;732;17.74%;33.03%;327;50;16;1.83%;6;1.83%;2.45%;44.67%;8;22;31;9.48%;6;58;108;8;6.73%;4.89%;15.29%;31;31;6;6;827906031;14;4.28%
Parlament;2024;2.96%;968;12.72%;36.59%;574;66;56;1.92%;5;0.87%;1.57%;59.30%;17;73;25;4.36%;5;73;210;9;12.72%;9.76%;11.50%;25;25;11;5;827905025;29;5.05%
Parlament;2024;3.85%;1005;7.70%;23.11%;727;68;198;5.36%;1;1.10%;0.96%;72.34%;28;95;23;5.23%;1;56;168;7;13.07%;27.24%;9.35%;23;38;39;8;827901023;22;3.03%
Parlament;2024;4.57%;1275;7.81%;29.69%;832;51;190;3.49%;5;0.84%;0.48%;65.25%;38;115;4;5.77%;5;65;247;4;13.82%;22.84%;6.13%;4;48;29;7;827905004;38;4.57%
Parlament;2024;3.77%;1156;4.49%;18.12%;690;39;265;4.06%;4;1.45%;0.14%;59.69%;26;114;2;4.78%;4;31;125;1;16.52%;38.41%;5.65%;2;33;28;10;827904002;18;2.61%
Parlament;2024;2.67%;1974;14.20%;33.08%;1049;125;89;3.53%;5;1.05%;1.24%;53.14%;28;140;16;6.86%;5;149;347;13;13.35%;8.48%;11.92%;16;72;37;11;827905016;38;3.62%
Parlament;2024;1.76%;960;11.06%;37.02%;624;92;56;4.01%;5;0.64%;0.64%;65.00%;11;73;28;6.57%;5;69;231;4;11.70%;8.97%;14.74%;28;41;25;4;827905028;18;2.88%
Parlament;2024;1.14%;833;25.86%;33.18%;437;54;16;2.52%;6;3.43%;1.14%;52.46%;5;31;29;6.18%;6;113;145;5;7.09%;3.66%;12.36%;29;27;11;15;827906029;15;3.43%
Parlament;2024;2.97%;1558;11.13%;34.99%;943;126;122;2.12%;1;1.48%;1.06%;60.53%;28;102;14;5.30%;1;105;330;10;10.82%;12.94%;13.36%;14;50;20;14;827901014;36;3.82%
Parlament;2024;4.96%;785;5.58%;25.62%;484;29;101;3.72%;5;0.62%;0.21%;61.66%;24;100;5;7.64%;5;27;124;1;20.66%;20.87%;5.99%;5;37;18;3;827905005;20;4.13%
Parlament;2024;1.80%;864;16.22%;45.95%;333;44;18;0.30%;2;0.60%;0.30%;38.54%;6;26;4;5.71%;2;54;153;1;7.81%;5.41%;13.21%;4;19;1;2;827902004;9;2.70%
Parlament;2024;2.20%;1406;9.63%;33.06%;862;82;166;2.55%;5;1.16%;0.58%;61.31%;19;104;11;6.50%;5;83;285;5;12.06%;19.26%;9.51%;11;56;22;10;827905011;30;3.48%
Parlament;2024;4.73%;908;5.22%;13.70%;613;62;247;4.24%;4;0.82%;0.00%;67.51%;29;85;15;4.57%;4;32;84;0;13.87%;40.29%;10.11%;15;28;26;5;827904015;15;2.45%
Parlament;2024;3.23%;1159;14.36%;31.60%;557;69;69;2.33%;6;0.36%;1.80%;48.06%;18;64;16;6.28%;6;80;176;10;11.49%;12.39%;12.39%;16;35;13;2;827906016;21;3.77%
Parlament;2024;1.67%;834;17.12%;43.63%;479;49;29;1.67%;5;1.46%;0.21%;57.43%;8;48;30;5.01%;5;82;209;1;10.02%;6.05%;10.23%;30;24;8;7;827905030;14;2.92%
Parlament;2024;9.49%;483;6.50%;11.38%;369;34;124;5.69%;1;0.27%;0.27%;76.40%;35;53;18;7.05%;1;24;42;1;14.36%;33.60%;9.21%;18;26;21;1;827901018;8;2.17%
Parlament;2024;2.31%;873;8.65%;35.19%;520;55;70;3.27%;4;0.77%;1.54%;59.56%;12;68;25;7.69%;4;45;183;8;13.08%;13.46%;10.58%;25;40;17;4;827904025;18;3.46%
Parlament;2024;2.20%;851;16.83%;41.46%;410;44;20;2.20%;2;1.46%;2.93%;48.18%;9;39;11;4.15%;2;69;170;12;9.51%;4.88%;10.73%;11;17;9;6;827902011;15;3.66%
Parlament;2024;4.25%;1783;7.55%;26.70%;1060;86;220;3.58%;3;1.51%;0.75%;59.45%;45;177;5;7.17%;3;80;283;8;16.70%;20.75%;8.11%;5;76;38;16;827903005;31;2.92%
Parlament;2024;2.77%;1506;11.97%;32.37%;902;76;131;3.55%;5;1.33%;1.22%;59.89%;25;110;17;6.98%;5;108;292;11;12.20%;14.52%;8.43%;17;63;32;12;827905017;42;4.66%
Parlament;2024;1.74%;1815;20.80%;34.53%;976;110;36;1.74%;6;2.46%;2.25%;53.77%;17;104;24;6.76%;6;203;337;22;10.66%;3.69%;11.27%;24;66;17;24;827906024;40;4.10%
Parlament;2024;3.01%;1182;11.10%;30.68%;730;67;109;2.74%;5;1.23%;0.96%;61.76%;22;115;24;7.40%;5;81;224;7;15.75%;14.93%;9.18%;24;54;20;9;827905024;22;3.01%
Parlament;2024;5.20%;1129;3.83%;18.60%;731;76;260;2.74%;4;0.41%;0.41%;64.75%;38;88;1;5.34%;4;28;136;3;12.04%;35.57%;10.40%;1;39;20;3;827904001;40;5.47%
