Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;PxC;% PxC;En Blanco;% En Blanco;PRIMARIES;% PRIMARIES;TxT;% TxT;VOX;% VOX;Podem;% Podem;PACMA;% PACMA;Altres;% Altres
Municipals;2015;4;19;08279804019;903;498;5;2;491;54,93%;129;0.2627;36;0.0733;52;0.1059;25;0.0509;136;0.277;65;0.1324;28;0.057;13;0.0265;;;0;0;0;0;0;0;0;0;0;0;7;0.0143
Municipals;2015;4;20;08279804020;554;250;3;1;246;44,95%;138;0.561;3;0.0122;11;0.0447;21;0.0854;33;0.1341;24;0.0976;2;0.0081;9;0.0366;;;0;0;0;0;0;0;0;0;0;0;5;0.0203
Municipals;2015;4;21;08279804021;760;379;2;2;375;49,61%;131;0.3493;10;0.0267;25;0.0667;26;0.0693;98;0.2613;46;0.1227;15;0.04;20;0.0533;;;0;0;0;0;0;0;0;0;0;0;4;0.0107
Municipals;2015;4;22;08279804022;1589;795;13;2;780;49,91%;253;0.3244;36;0.0462;90;0.1154;32;0.041;196;0.2513;128;0.1641;24;0.0308;10;0.0128;;;0;0;0;0;0;0;0;0;0;0;11;0.0141
Municipals;2015;4;23;08279804023;1541;811;6;6;799;52,24%;235;0.2941;40;0.0501;74;0.0926;40;0.0501;225;0.2816;127;0.1589;24;0.03;27;0.0338;;;0;0;0;0;0;0;0;0;0;0;7;0.0088
Municipals;2015;4;24;08279804024;1519;765;10;2;753;50,23%;218;0.2895;44;0.0584;70;0.093;53;0.0704;181;0.2404;125;0.166;30;0.0398;20;0.0266;;;0;0;0;0;0;0;0;0;0;0;12;0.0159
Municipals;2015;4;25;08279804025;900;486;3;0;483;54,00%;138;0.2857;58;0.1201;57;0.118;29;0.06;124;0.2567;50;0.1035;16;0.0331;5;0.0104;;;0;0;0;0;0;0;0;0;0;0;6;0.0124
Municipals;2015;4;26;08279804026;1046;641;9;0;632;61,28%;122;0.193;191;0.3022;139;0.2199;32;0.0506;61;0.0965;30;0.0475;51;0.0807;3;0.0047;;;0;0;0;0;0;0;0;0;0;0;3;0.0047
Municipals;2015;5;1;08279805001;1508;846;4;1;841;56,03%;225;0.2675;78;0.0927;141;0.1677;51;0.0606;147;0.1748;124;0.1474;36;0.0428;21;0.025;;;0;0;0;0;0;0;0;0;0;0;18;0.0214
Municipals;2015;5;2;08279805002;1103;576;9;3;564;51,95%;217;0.3848;23;0.0408;29;0.0514;48;0.0851;137;0.2429;62;0.1099;20;0.0355;9;0.016;;;0;0;0;0;0;0;0;0;0;0;19;0.0337
Municipals;2015;5;3;08279805003;1479;816;8;6;802;54,77%;188;0.2344;161;0.2007;144;0.1796;34;0.0424;124;0.1546;70;0.0873;62;0.0773;11;0.0137;;;0;0;0;0;0;0;0;0;0;0;8;0.01
Municipals;2015;5;4;08279805004;1165;692;8;5;679;58,97%;181;0.2666;98;0.1443;137;0.2018;21;0.0309;112;0.1649;62;0.0913;57;0.0839;3;0.0044;;;0;0;0;0;0;0;0;0;0;0;8;0.0118
Municipals;2015;5;5;08279805005;789;435;4;3;428;54,75%;85;0.1986;54;0.1262;100;0.2336;16;0.0374;90;0.2103;38;0.0888;37;0.0864;2;0.0047;;;0;0;0;0;0;0;0;0;0;0;6;0.014
Municipals;2015;5;6;08279805006;1565;917;21;6;890;58,21%;210;0.236;173;0.1944;186;0.209;38;0.0427;119;0.1337;65;0.073;75;0.0843;19;0.0213;;;0;0;0;0;0;0;0;0;0;0;5;0.0056
Municipals;2015;5;7;08279805007;891;586;10;3;573;65,43%;91;0.1588;102;0.178;160;0.2792;19;0.0332;90;0.1571;47;0.082;49;0.0855;4;0.007;;;0;0;0;0;0;0;0;0;0;0;11;0.0192
Municipals;2015;5;8;08279805008;1432;813;7;3;803;56,56%;167;0.208;150;0.1868;176;0.2192;45;0.056;117;0.1457;57;0.071;72;0.0897;5;0.0062;;;0;0;0;0;0;0;0;0;0;0;14;0.0174
Municipals;2015;5;9;08279805009;1358;810;1;0;809;59,65%;259;0.3201;106;0.131;116;0.1434;44;0.0544;166;0.2052;59;0.0729;39;0.0482;5;0.0062;;;0;0;0;0;0;0;0;0;0;0;15;0.0185
Municipals;2015;5;10;08279805010;1453;796;5;3;788;54,58%;345;0.4378;38;0.0482;53;0.0673;65;0.0825;166;0.2107;89;0.1129;15;0.019;12;0.0152;;;0;0;0;0;0;0;0;0;0;0;5;0.0063
