Elecció;Any;Districte;Secció;Junts;Participació;PP;PSC;% CUP;% PSC;% Junts;PACMA;% CECP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CECP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;% PP;Secció;CUP;Altres;% Altres
Parlament;2017;4;5;202;80.32;22;109;4.68;10.86;20.12;12;8.17;1.2;27.59;999;5;82;277;988;993;6;236;4;1250;23.51;2.19;5;47;1;0.1
Parlament;2017;4;6;139;82.44;37;161;4.33;13.67;11.8;17;10.53;1.44;33.45;1171;7;124;394;1163;1170;1;235;4;1429;19.95;3.14;6;51;5;0.43
Parlament;2017;4;7;173;78.68;55;212;2.79;14.43;11.78;21;9.8;1.43;35.53;1465;4;144;522;1448;1452;13;273;4;1867;18.58;3.74;7;41;7;0.48
Parlament;2017;4;8;94;83.4;39;124;4.45;15.33;11.62;17;12.36;2.1;29.17;804;5;100;236;796;801;3;144;4;970;17.8;4.82;8;36;6;0.75
Parlament;2017;4;9;55;77.9;32;92;1.71;15.73;9.4;5;9.74;0.85;41.88;582;3;57;245;576;579;3;78;4;751;13.33;5.47;9;10;2;0.35
Parlament;2017;4;10;22;71.3;31;115;3.18;21.54;4.12;6;14.04;1.12;35.02;532;2;75;187;529;531;1;74;4;749;13.86;5.81;10;17;2;0.38
Parlament;2017;4;12;145;85.21;22;111;4.64;13.2;17.24;12;8.44;1.43;27.35;837;4;71;230;833;837;0;199;4;987;23.66;2.62;12;39;4;0.48
Parlament;2017;4;13;256;86.77;38;121;5.64;11.98;25.35;8;8.02;0.79;17.82;1010;0;81;180;1010;1010;0;264;4;1164;26.14;3.76;13;57;5;0.5
Parlament;2017;4;14;317;89.39;34;60;4.72;6.91;36.52;3;4.72;0.35;14.75;862;6;41;128;853;859;3;229;4;971;26.38;3.92;14;41;0;0
Parlament;2017;4;15;308;86.77;23;53;5.63;7.28;42.31;5;3.98;0.69;14.42;726;2;29;105;724;726;0;160;4;839;21.98;3.16;15;41;0;0
Parlament;2017;4;16;320;86.21;37;59;6.55;7.15;38.79;6;5.82;0.73;12.73;823;2;48;105;821;823;0;187;4;957;22.67;4.48;16;54;5;0.61
Parlament;2017;4;17;277;86.91;37;111;4.78;11.29;28.18;13;6.51;1.32;15.36;978;5;64;151;969;974;4;268;4;1131;27.26;3.76;17;47;1;0.1
Parlament;2017;4;18;353;85.66;50;227;5.03;13.77;21.41;20;8.19;1.21;20.98;1640;9;135;346;1628;1637;3;409;4;1925;24.8;3.03;18;83;5;0.31
Parlament;2017;4;19;99;82.73;28;116;4.26;15.43;13.16;8;11.57;1.06;27.66;751;1;87;208;743;744;7;157;4;909;20.88;3.72;19;32;8;1.08
Parlament;2017;4;20;13;71.21;33;89;1.35;23.99;3.5;13;6.2;3.5;39.35;371;0;23;146;366;366;5;37;4;521;9.97;8.89;20;5;7;1.91
Parlament;2017;4;21;45;76.63;29;96;1.19;16.35;7.67;9;11.93;1.53;37.31;582;5;70;219;573;578;4;94;4;766;16.01;4.94;21;7;4;0.7
Parlament;2017;4;22;106;85.49;39;211;2.67;15.64;7.86;17;11.49;1.26;37.29;1339;10;155;503;1325;1335;4;251;4;1578;18.61;2.89;22;36;7;0.53
Parlament;2017;4;23;95;87.17;32;252;2.84;18.35;6.92;21;14.35;1.53;35.98;1362;11;197;494;1347;1358;4;205;4;1575;14.93;2.33;23;39;12;0.89
Parlament;2017;4;24;132;83.35;42;206;2.52;15.76;10.1;13;10.18;0.99;38.94;1299;8;133;509;1287;1295;4;215;4;1568;16.45;3.21;24;33;4;0.31
Parlament;2017;4;25;140;80.11;34;115;3.37;16.13;19.64;7;10.38;0.98;26.93;708;5;74;192;703;708;0;117;4;890;16.41;4.77;25;24;0;0
Parlament;2017;4;26;333;84.97;21;89;4.54;10.09;37.76;6;5.22;0.68;14.74;877;5;46;130;870;875;2;204;4;1038;23.13;2.38;26;40;1;0.11
