Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;DL;% DL;En Comú;% En Comú;ERC;% ERC;PACMA;% PACMA;PP;% PP;PSC;% PSC;Unió;% Unió
Generals;2015;5;2;0827905002;1114;796;0;6;790;71,45%;136;17,09%;23;2,89%;264;33,17%;40;5,03%;14;1,76%;100;12,56%;197;24,75%;8;1,01%
Generals;2015;5;3;0827905003;1481;1070;9;6;1055;72,86%;141;13,07%;186;17,24%;265;24,56%;195;18,07%;18;1,67%;99;9,18%;115;10,66%;22;2,04%
Generals;2015;5;4;0827905004;1178;895;3;6;886;76,23%;117;13,03%;124;13,81%;220;24,50%;192;21,38%;11;1,22%;75;8,35%;126;14,03%;18;2,00%
Generals;2015;5;5;0827905005;771;544;3;2;539;70,95%;41;7,50%;86;15,72%;165;30,16%;116;21,21%;8;1,46%;48;8,78%;61;11,15%;8;1,46%
Generals;2015;5;6;0827905006;1551;1132;7;4;1121;73,44%;146;12,82%;225;19,75%;267;23,44%;243;21,33%;8;0,70%;91;7,99%;119;10,45%;12;1,05%
Generals;2015;5;7;0827905007;893;709;3;3;703;79,73%;74;10,39%;131;18,40%;171;24,02%;180;25,28%;6;0,84%;50;7,02%;72;10,11%;15;2,11%
Generals;2015;5;8;0827905008;1438;1059;7;4;1048;74,13%;125;11,73%;178;16,70%;253;23,73%;220;20,64%;18;1,69%;86;8,07%;141;13,23%;23;2,16%
Generals;2015;5;9;0827905009;1348;1044;9;4;1031;78,12%;124;11,78%;116;11,02%;309;29,34%;147;13,96%;8;0,76%;109;10,35%;195;18,52%;15;1,42%
Generals;2015;5;10;0827905010;1436;1020;1;5;1014;71,10%;157;15,38%;29;2,84%;302;29,58%;52;5,09%;16;1,57%;144;14,10%;292;28,60%;10;0,98%
Generals;2015;5;11;0827905011;1461;1100;4;4;1092;75,56%;163;14,76%;118;10,69%;310;28,08%;147;13,32%;14;1,27%;134;12,14%;181;16,39%;13;1,18%
Generals;2015;5;12;0827905012;581;412;5;0;407;71,77%;58;13,91%;31;7,43%;108;25,90%;58;13,91%;4;0,96%;44;10,55%;95;22,78%;6;1,44%
Generals;2015;5;13;0827905013;1155;753;5;5;743;65,63%;139;18,34%;27;3,56%;250;32,98%;63;8,31%;16;2,11%;62;8,18%;178;23,48%;5;0,66%
Generals;2015;5;14;0827905014;1575;1140;9;11;1120;72,95%;168;14,62%;50;4,35%;360;31,33%;105;9,14%;21;1,83%;114;9,92%;274;23,85%;17;1,48%
Generals;2015;5;15;0827905015;1477;1003;4;9;990;68,18%;168;16,68%;49;4,87%;335;33,27%;65;6,45%;12;1,19%;97;9,63%;251;24,93%;6;0,60%
Generals;2015;5;16;0827905016;1909;1316;11;5;1300;69,51%;225;16,96%;62;4,67%;422;31,80%;91;6,86%;19;1,43%;144;10,85%;304;22,91%;16;1,21%
Generals;2015;5;17;0827905017;1268;984;6;2;976;78,08%;194;19,60%;91;9,19%;344;34,75%;120;12,12%;7;0,71%;55;5,56%;135;13,64%;14;1,41%
Generals;2015;5;18;0827905018;983;752;1;3;748;76,60%;104;13,81%;18;2,39%;258;34,26%;28;3,72%;9;1,20%;115;15,27%;195;25,90%;11;1,46%
Generals;2015;5;19;0827905019;832;609;4;1;604;73,68%;113;18,43%;51;8,32%;209;34,09%;95;15,50%;12;1,96%;39;6,36%;71;11,58%;11;1,79%
Generals;2015;5;20;0827905020;1191;875;6;3;866;73,97%;105;11,92%;113;12,83%;275;31,21%;165;18,73%;10;1,14%;59;6,70%;109;12,37%;22;2,50%
Generals;2015;5;21;0827905021;1405;1072;4;5;1063;76,58%;154;14,31%;112;10,41%;309;28,72%;135;12,55%;15;1,39%;120;11,15%;197;18,31%;14;1,30%
Generals;2015;5;22;0827905022;546;385;2;0;383;70,88%;65;16,80%;26;6,72%;117;30,23%;39;10,08%;4;1,03%;59;15,25%;63;16,28%;8;2,07%
Generals;2015;5;23;0827905023;1276;957;9;5;943;75,71%;89;9,21%;184;19,05%;248;25,67%;213;22,05%;6;0,62%;55;5,69%;122;12,63%;20;2,07%
Generals;2015;5;24;0827905024;1164;844;7;2;835;73,11%;171;20,09%;74;8,70%;263;30,90%;108;12,69%;10;1,18%;73;8,58%;122;14,34%;10;1,18%
Generals;2015;5;25;0827905025;871;667;10;1;656;77,73%;143;21,12%;43;6,35%;186;27,47%;49;7,24%;6;0,89%;60;8,86%;155;22,90%;6;0,89%
Generals;2015;5;26;0827905026;988;766;1;5;760;77,63%;98;12,78%;122;15,91%;187;24,38%;147;19,17%;7;0,91%;76;9,91%;99;12,91%;18;2,35%
Generals;2015;5;27;0827905027;946;727;3;3;721;77,17%;96;13,15%;117;16,03%;206;28,22%;133;18,22%;10;1,37%;56;7,67%;89;12,19%;6;0,82%
Generals;2015;5;28;0827905028;877;683;4;5;674;78,34%;128;18,63%;38;5,53%;233;33,92%;58;8,44%;12;1,75%;53;7,71%;134;19,51%;8;1,16%
Generals;2015;5;29;0827905029;856;668;4;2;662;78,50%;131;19,49%;29;4,32%;234;34,82%;85;12,65%;11;1,64%;41;6,10%;118;17,56%;8;1,19%
Generals;2015;6;1;0827906001;875;647;4;0;643;74,40%;99;15,21%;30;4,61%;188;28,88%;29;4,45%;8;1,23%;67;10,29%;209;32,10%;7;1,08%
Generals;2015;6;2;0827906002;1162;802;4;3;795;69,36%;140;17,37%;46;5,71%;244;30,27%;79;9,80%;18;2,23%;91;11,29%;163;20,22%;2;0,25%
Generals;2015;6;3;0827906003;1466;984;2;2;980;67,26%;152;15,42%;42;4,26%;321;32,56%;60;6,09%;15;1,52%;144;14,60%;220;22,31%;10;1,01%
Generals;2015;6;4;0827906004;856;555;2;2;551;65,07%;101;18,13%;29;5,21%;154;27,65%;41;7,36%;13;2,33%;82;14,72%;117;21,01%;5;0,90%
Generals;2015;6;5;0827906005;1103;763;7;5;751;69,81%;141;18,31%;33;4,29%;295;38,31%;57;7,40%;10;1,30%;65;8,44%;136;17,66%;3;0,39%
Generals;2015;6;6;0827906006;1119;791;5;2;784;71,13%;217;27,26%;18;2,26%;250;31,41%;46;5,78%;17;2,14%;79;9,92%;141;17,71%;4;0,50%
Generals;2015;6;8;0827906008;1625;1174;6;3;1165;72,62%;168;14,24%;119;10,08%;378;32,03%;163;13,81%;11;0,93%;99;8,39%;191;16,19%;22;1,86%
Generals;2015;6;9;0827906009;869;658;4;2;652;76,18%;111;16,77%;34;5,14%;227;34,29%;45;6,80%;10;1,51%;62;9,37%;149;22,51%;7;1,06%
Generals;2015;6;10;0827906010;1572;1205;6;1;1198;77,04%;231;19,08%;35;2,89%;396;32,70%;82;6,77%;17;1,40%;106;8,75%;300;24,77%;18;1,49%
Generals;2015;6;11;0827906011;1263;820;5;4;811;65,32%;128;15,52%;18;2,18%;292;35,39%;44;5,33%;18;2,18%;99;12,00%;194;23,52%;5;0,61%
Generals;2015;6;12;0827906012;915;641;3;1;637;70,38%;86;13,35%;30;4,66%;216;33,54%;55;8,54%;6;0,93%;70;10,87%;159;24,69%;6;0,93%
Generals;2015;6;13;0827906013;709;530;0;0;530;74,75%;93;17,55%;4;0,75%;194;36,60%;18;3,40%;11;2,08%;67;12,64%;133;25,09%;4;0,75%
Generals;2015;6;14;0827906014;706;446;4;2;440;63,74%;72;16,00%;16;3,56%;134;29,78%;20;4,44%;3;0,67%;61;13,56%;126;28,00%;2;0,44%
Generals;2015;6;16;0827906016;1121;721;5;6;710;64,76%;112;15,43%;58;7,99%;249;34,30%;36;4,96%;9;1,24%;89;12,26%;142;19,56%;11;1,52%
Generals;2015;6;18;0827906018;909;606;9;1;596;67,66%;109;17,72%;16;2,60%;183;29,76%;32;5,20%;6;0,98%;68;11,06%;171;27,80%;4;0,65%
Generals;2015;6;20;0827906020;1174;720;8;7;705;62,01%;121;16,62%;19;2,61%;201;27,61%;29;3,98%;10;1,37%;101;13,87%;214;29,40%;3;0,41%
Generals;2015;6;23;0827906023;996;693;8;0;685;70,38%;153;21,83%;18;2,57%;187;26,68%;29;4,14%;13;1,85%;96;13,69%;173;24,68%;8;1,14%
Generals;2015;6;24;0827906024;1801;1300;10;6;1284;72,74%;279;21,30%;25;1,91%;499;38,09%;54;4,12%;14;1,07%;140;10,69%;250;19,08%;9;0,69%
Generals;2015;6;25;0827906025;1379;978;13;1;964;71,86%;201;20,28%;32;3,23%;318;32,09%;57;5,75%;14;1,41%;102;10,29%;225;22,70%;6;0,61%
Generals;2015;6;26;0827906026;1207;836;2;2;832;69,43%;161;19,21%;19;2,27%;302;36,04%;43;5,13%;14;1,67%;79;9,43%;204;24,34%;3;0,36%
Generals;2015;6;27;0827906027;971;663;6;5;652;68,90%;115;17,19%;4;0,60%;201;30,04%;17;2,54%;15;2,24%;80;11,96%;203;30,34%;4;0,60%
Generals;2015;6;28;0827906028;1188;888;3;6;879;75,00%;186;20,88%;21;2,36%;300;33,67%;45;5,05%;11;1,23%;86;9,65%;220;24,69%;4;0,45%
Generals;2015;6;29;0827906029;768;564;3;0;561;73,83%;131;23,10%;10;1,76%;201;35,45%;24;4,23%;17;3,00%;66;11,64%;109;19,22%;1;0,18%
Generals;2015;6;30;0827906030;542;402;2;3;397;74,54%;89;22,03%;9;2,23%;160;39,60%;26;6,44%;4;0,99%;29;7,18%;75;18,56%;4;0,99%
Generals;2015;6;31;0827906031;736;480;2;3;475;65,49%;75;15,56%;5;1,04%;194;40,25%;22;4,56%;8;1,66%;50;10,37%;110;22,82%;4;0,83%
Generals;2015;6;32;0827906032;545;370;1;3;366;68,07%;89;23,99%;12;3,23%;151;40,70%;11;2,96%;7;1,89%;43;11,59%;48;12,94%;2;0,54%
Generals;2015;6;33;0827906033;1005;777;10;5;762;78,31%;186;23,63%;23;2,92%;304;38,63%;70;8,89%;11;1,40%;56;7,12%;99;12,58%;7;0,89%
