Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;Convergència / Junts;% Convergència / Junts;ERC;% ERC;PP;% PP;Comuns / Sumar;% Comuns / Sumar;Cs;% Cs;CUP;% CUP;Unió;% Unió;PACMA;% PACMA;Front Republicà;% Front Republicà;VOX;% VOX;Más País;% Más País;Altres;% Altres
Generals;2023;3;7;0827903007;1669;1115;9;12;1094;0.6681;364;0.3327;107;0.0978;178;0.1627;118;0.1079;181;0.1654;;;29;0.0265;;;16;0.0146;;;94;0.0859;;;7;0.0064
Generals;2023;3;8;0827903008;1509;954;5;5;944;0.6322;460;0.4873;13;0.0138;58;0.0614;100;0.1059;148;0.1568;;;9;0.0095;;;13;0.0138;;;139;0.1472;;;4;0.0042
Generals;2023;3;14;0827903014;1116;636;4;12;620;0.5699;282;0.4548;28;0.0452;38;0.0613;69;0.1113;95;0.1532;;;12;0.0194;;;7;0.0113;;;85;0.1371;;;4;0.0065
Generals;2023;3;15;0827903015;907;578;6;6;566;0.6373;213;0.3763;27;0.0477;55;0.0972;79;0.1396;106;0.1873;;;11;0.0194;;;8;0.0141;;;65;0.1148;;;2;0.0035
Generals;2023;3;16;0827903016;791;383;3;6;374;0.4842;186;0.4973;5;0.0134;15;0.0401;58;0.1551;44;0.1176;;;1;0.0027;;;6;0.016;;;53;0.1417;;;6;0.016
Generals;2023;3;17;0827903017;831;508;8;2;498;0.6113;258;0.5181;3;0.006;27;0.0542;84;0.1687;57;0.1145;;;2;0.004;;;4;0.008;;;60;0.1205;;;3;0.006
Generals;2023;3;18;0827903018;768;508;6;5;497;0.6615;223;0.4487;4;0.008;31;0.0624;83;0.167;83;0.167;;;2;0.004;;;7;0.0141;;;61;0.1227;;;3;0.006
Generals;2023;3;19;0827903019;869;505;8;4;493;0.5811;234;0.4746;16;0.0325;28;0.0568;74;0.1501;71;0.144;;;4;0.0081;;;0;0;;;55;0.1116;;;11;0.0223
Generals;2023;3;20;0827903020;1179;742;7;10;725;0.6293;307;0.4234;44;0.0607;60;0.0828;78;0.1076;139;0.1917;;;9;0.0124;;;13;0.0179;;;66;0.091;;;9;0.0124
Generals;2023;4;1;0827904001;1135;758;6;6;746;0.6678;203;0.2721;154;0.2064;107;0.1434;100;0.134;97;0.13;;;24;0.0322;;;6;0.008;;;29;0.0389;;;26;0.0349
Generals;2023;4;2;0827904002;1140;765;8;9;748;0.6711;204;0.2727;159;0.2126;126;0.1684;50;0.0668;113;0.1511;;;27;0.0361;;;4;0.0053;;;35;0.0468;;;30;0.0401
Generals;2023;4;3;0827904003;1333;889;2;5;882;0.6669;286;0.3243;106;0.1202;149;0.1689;106;0.1202;144;0.1633;;;23;0.0261;;;5;0.0057;;;55;0.0624;;;8;0.0091
Generals;2023;4;4;0827904004;1137;734;6;13;715;0.6456;244;0.3413;57;0.0797;128;0.179;66;0.0923;130;0.1818;;;16;0.0224;;;11;0.0154;;;57;0.0797;;;6;0.0084
Generals;2023;4;5;0827904005;1272;818;10;7;801;0.6431;296;0.3695;57;0.0712;111;0.1386;79;0.0986;153;0.191;;;15;0.0187;;;14;0.0175;;;69;0.0861;;;7;0.0087
Generals;2023;4;6;0827904006;1482;946;8;11;927;0.6383;364;0.3927;48;0.0518;80;0.0863;101;0.109;173;0.1866;;;13;0.014;;;29;0.0313;;;106;0.1143;;;13;0.014
Generals;2023;4;7;0827904007;1861;1120;9;9;1102;0.6018;458;0.4156;44;0.0399;100;0.0907;136;0.1234;179;0.1624;;;10;0.0091;;;17;0.0154;;;147;0.1334;;;11;0.01
Generals;2023;4;8;0827904008;986;610;7;8;595;0.6187;221;0.3714;37;0.0622;49;0.0824;76;0.1277;115;0.1933;;;6;0.0101;;;16;0.0269;;;69;0.116;;;6;0.0101
Generals;2023;4;9;0827904009;757;426;4;9;413;0.5627;163;0.3947;12;0.0291;24;0.0581;77;0.1864;63;0.1525;;;2;0.0048;;;8;0.0194;;;59;0.1429;;;5;0.0121
Generals;2023;4;10;0827904010;715;388;2;5;381;0.5427;186;0.4882;7;0.0184;9;0.0236;42;0.1102;66;0.1732;;;3;0.0079;;;5;0.0131;;;56;0.147;;;7;0.0184
Generals;2023;4;12;0827904012;1033;650;4;21;625;0.6292;222;0.3552;45;0.072;75;0.12;53;0.0848;128;0.2048;;;23;0.0368;;;9;0.0144;;;67;0.1072;;;3;0.0048
Generals;2023;4;13;0827904013;1230;845;6;6;833;0.687;282;0.3385;110;0.1321;125;0.1501;71;0.0852;148;0.1777;;;21;0.0252;;;11;0.0132;;;60;0.072;;;5;0.006
Generals;2023;4;14;0827904014;1022;725;3;7;715;0.7094;170;0.2378;180;0.2517;107;0.1497;84;0.1175;82;0.1147;;;37;0.0517;;;4;0.0056;;;28;0.0392;;;23;0.0322
Generals;2023;4;15;0827904015;893;608;10;5;593;0.6809;118;0.199;144;0.2428;116;0.1956;75;0.1265;78;0.1315;;;19;0.032;;;7;0.0118;;;22;0.0371;;;14;0.0236
Generals;2023;4;16;0827904016;965;664;4;10;650;0.6881;152;0.2338;154;0.2369;119;0.1831;64;0.0985;76;0.1169;;;25;0.0385;;;8;0.0123;;;36;0.0554;;;16;0.0246
Generals;2023;4;17;0827904017;1254;959;9;11;939;0.7648;292;0.311;138;0.147;163;0.1736;90;0.0958;153;0.1629;;;27;0.0288;;;11;0.0117;;;44;0.0469;;;21;0.0224
Generals;2023;4;18;0827904018;1935;1352;17;13;1322;0.6987;462;0.3495;165;0.1248;204;0.1543;133;0.1006;200;0.1513;;;29;0.0219;;;18;0.0136;;;94;0.0711;;;17;0.0129
Generals;2023;4;19;0827904019;894;593;7;4;582;0.6633;234;0.4021;33;0.0567;63;0.1082;76;0.1306;92;0.1581;;;15;0.0258;;;8;0.0137;;;55;0.0945;;;6;0.0103
Generals;2023;4;20;0827904020;524;285;5;6;274;0.5439;133;0.4854;0;0;22;0.0803;33;0.1204;36;0.1314;;;0;0;;;11;0.0401;;;36;0.1314;;;3;0.0109
Generals;2023;4;21;0827904021;789;493;5;5;483;0.6248;244;0.5052;7;0.0145;40;0.0828;42;0.087;76;0.1573;;;8;0.0166;;;6;0.0124;;;51;0.1056;;;9;0.0186
Generals;2023;4;22;0827904022;1723;1132;24;7;1101;0.657;450;0.4087;33;0.03;109;0.099;135;0.1226;187;0.1698;;;8;0.0073;;;13;0.0118;;;156;0.1417;;;10;0.0091
Generals;2023;4;23;0827904023;1714;1217;5;15;1197;0.71;519;0.4336;30;0.0251;113;0.0944;134;0.1119;212;0.1771;;;9;0.0075;;;21;0.0175;;;144;0.1203;;;15;0.0125
Generals;2023;4;24;0827904024;1858;1233;16;6;1211;0.6636;395;0.3262;55;0.0454;115;0.095;177;0.1462;238;0.1965;;;15;0.0124;;;12;0.0099;;;192;0.1585;;;12;0.0099
Generals;2023;4;25;0827904025;873;584;6;6;572;0.669;235;0.4108;43;0.0752;44;0.0769;79;0.1381;108;0.1888;;;9;0.0157;;;1;0.0017;;;46;0.0804;;;7;0.0122
Generals;2023;4;26;0827904026;1136;786;10;9;767;0.6919;214;0.279;138;0.1799;144;0.1877;74;0.0965;124;0.1617;;;23;0.03;;;6;0.0078;;;34;0.0443;;;10;0.013
Generals;2023;5;1;0827905001;1537;1027;13;12;1002;0.6682;376;0.3752;70;0.0699;127;0.1267;150;0.1497;154;0.1537;;;14;0.014;;;10;0.01;;;86;0.0858;;;15;0.015
Generals;2023;5;2;0827905002;1087;718;4;11;703;0.6605;303;0.431;12;0.0171;53;0.0754;87;0.1238;128;0.1821;;;5;0.0071;;;11;0.0156;;;94;0.1337;;;10;0.0142
Generals;2023;5;3;0827905003;1512;1026;13;6;1007;0.6786;308;0.3059;110;0.1092;176;0.1748;114;0.1132;164;0.1629;;;32;0.0318;;;9;0.0089;;;76;0.0755;;;18;0.0179
Generals;2023;5;4;0827905004;1262;857;6;8;843;0.6791;291;0.3452;90;0.1068;136;0.1613;80;0.0949;149;0.1767;;;31;0.0368;;;8;0.0095;;;50;0.0593;;;8;0.0095
Generals;2023;5;5;0827905005;755;530;9;4;517;0.702;171;0.3308;50;0.0967;109;0.2108;43;0.0832;95;0.1838;;;14;0.0271;;;4;0.0077;;;27;0.0522;;;4;0.0077
