Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;En Blanc;% En Blanc;ERC;% ERC;ICV;% ICV;PACMA;% PACMA;Pirata;% Pirata;PP;% PP;PSC;% PSC;PxC;% PxC;UPYD;% UPYD;Altres;% Altres
5;13;1014;634;23;11;600;62.52%;110;17.35%;7;1.10%;15;2.37%;59;9.31%;8;1.26%;1;0.16%;134;21.14%;229;36.12%;29;4.57%;7;1.10%;1;0.16%
5;14;1560;1110;23;21;1066;71.15%;179;16.13%;17;1.53%;49;4.41%;108;9.73%;5;0.45%;9;0.81%;224;20.18%;416;37.48%;42;3.78%;14;1.26%;3;0.27%
5;15;1514;945;12;14;919;62.42%;129;13.65%;13;1.38%;36;3.81%;91;9.63%;11;1.16%;2;0.21%;182;19.26%;399;42.22%;36;3.81%;15;1.59%;5;0.53%
5;16;1714;1123;26;16;1081;65.52%;201;17.90%;11;0.98%;36;3.21%;102;9.08%;7;0.62%;5;0.45%;246;21.91%;413;36.78%;38;3.38%;15;1.34%;7;0.62%
5;17;1265;865;23;15;827;68.38%;209;24.16%;8;0.92%;40;4.62%;101;11.68%;7;0.81%;9;1.04%;165;19.08%;252;29.13%;21;2.43%;13;1.50%;2;0.23%
5;18;991;698;7;6;685;70.43%;103;14.76%;7;1.00%;10;1.43%;73;10.46%;11;1.58%;8;1.15%;194;27.79%;256;36.68%;10;1.43%;10;1.43%;3;0.43%
5;19;802;543;10;12;521;67.71%;145;26.70%;9;1.66%;29;5.34%;51;9.39%;5;0.92%;3;0.55%;100;18.42%;154;28.36%;14;2.58%;9;1.66%;2;0.37%
5;20;1170;788;9;11;768;67.35%;245;31.09%;20;2.54%;62;7.87%;85;10.79%;8;1.02%;16;2.03%;116;14.72%;191;24.24%;14;1.78%;8;1.02%;3;0.38%
5;21;1370;976;19;6;951;71.24%;230;23.57%;15;1.54%;56;5.74%;110;11.27%;7;0.72%;5;0.51%;200;20.49%;296;30.33%;9;0.92%;16;1.64%;7;0.72%
5;22;531;352;7;5;340;66.29%;62;17.61%;4;1.14%;24;6.82%;33;9.38%;1;0.28%;3;0.85%;81;23.01%;112;31.82%;11;3.13%;7;1.99%;2;0.57%
