Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;Cs;% Cs;ERC;% ERC;ICV;% ICV;PP;% PP;PACMA;% PACMA;Partido X;% Partido X;Podemos;% Podemos;PSC;% PSC;UPyD;% UPyD;VOX;% VOX;Altres;% Altres
3;15;923;429;6;5;418;46.48%;52;12.26%;39;9.20%;74;17.45%;49;11.56%;47;11.08%;10;2.36%;0;0.00%;24;5.66%;98;23.11%;4;0.94%;1;0.24%;20;4.72%
3;16;636;283;7;2;274;44.50%;10;3.56%;32;11.39%;10;3.56%;19;6.76%;38;13.52%;3;1.07%;3;1.07%;33;11.74%;97;34.52%;6;2.14%;3;1.07%;20;7.12%
3;17;867;332;4;4;324;38.29%;11;3.35%;39;11.89%;19;5.79%;0;0.00%;40;12.20%;12;3.66%;5;1.52%;21;6.40%;109;33.23%;12;3.66%;0;0.00%;56;17.07%
3;18;743;331;8;6;317;44.55%;20;6.15%;40;12.31%;25;7.69%;34;10.46%;32;9.85%;5;1.54%;10;3.08%;32;9.85%;84;25.85%;11;3.38%;1;0.31%;23;7.08%
3;19;914;349;5;3;341;38.18%;21;6.07%;52;15.03%;34;9.83%;28;8.09%;52;15.03%;3;0.87%;5;1.45%;25;7.23%;99;28.61%;4;1.16%;0;0.00%;18;5.20%
3;20;1178;574;10;6;558;48.73%;67;11.80%;41;7.22%;108;19.01%;68;11.97%;47;8.27%;12;2.11%;15;2.64%;31;5.46%;128;22.54%;7;1.23%;1;0.18%;33;5.81%
4;1;1085;605;7;1;597;55.76%;230;38.08%;19;3.15%;166;27.48%;57;9.44%;46;7.62%;5;0.83%;0;0.00%;11;1.82%;31;5.13%;6;0.99%;0;0.00%;26;4.30%
4;2;1106;657;16;1;640;59.40%;278;42.38%;14;2.13%;191;29.12%;45;6.86%;35;5.34%;2;0.30%;1;0.15%;18;2.74%;29;4.42%;3;0.46%;0;0.00%;24;3.66%
4;3;1235;675;8;1;666;54.66%;177;26.26%;21;3.12%;200;29.67%;72;10.68%;54;8.01%;14;2.08%;4;0.59%;31;4.60%;67;9.94%;8;1.19%;1;0.15%;17;2.52%
4;4;1107;562;13;4;545;50.77%;129;23.12%;26;4.66%;146;26.16%;54;9.68%;49;8.78%;4;0.72%;5;0.90%;24;4.30%;76;13.62%;3;0.54%;1;0.18%;28;5.02%
4;5;1259;568;12;5;551;45.12%;122;21.67%;53;9.41%;141;25.04%;74;13.14%;21;3.73%;7;1.24%;13;2.31%;25;4.44%;57;10.12%;7;1.24%;0;0.00%;31;5.51%
4;6;1379;664;12;8;644;48.15%;66;10.06%;51;7.77%;124;18.90%;83;12.65%;64;9.76%;17;2.59%;9;1.37%;42;6.40%;146;22.26%;11;1.68%;0;0.00%;31;4.73%
4;7;1890;725;17;7;701;38.36%;88;12.26%;69;9.61%;110;15.32%;83;11.56%;60;8.36%;16;2.23%;19;2.65%;53;7.38%;150;20.89%;18;2.51%;4;0.56%;31;4.32%
4;8;927;391;4;4;383;42.18%;41;10.59%;34;8.79%;55;14.21%;59;15.25%;34;8.79%;11;2.84%;5;1.29%;35;9.04%;63;16.28%;11;2.84%;0;0.00%;35;9.04%
4;9;751;303;5;2;296;40.35%;20;6.64%;30;9.97%;20;6.64%;42;13.95%;36;11.96%;11;3.65%;6;1.99%;17;5.65%;83;27.57%;11;3.65%;3;1.00%;17;5.65%
4;10;737;337;4;1;332;45.73%;16;4.76%;24;7.14%;33;9.82%;50;14.88%;31;9.23%;2;0.60%;2;0.60%;17;5.06%;139;41.37%;7;2.08%;0;0.00%;11;3.27%
4;12;975;456;4;4;448;46.77%;68;15.04%;40;8.85%;101;22.35%;50;11.06%;35;7.74%;3;0.66%;14;3.10%;36;7.96%;78;17.26%;5;1.11%;1;0.22%;17;3.76%
4;13;1198;645;4;5;636;53.84%;149;23.28%;22;3.44%;188;29.38%;71;11.09%;45;7.03%;5;0.78%;4;0.63%;28;4.38%;91;14.22%;7;1.09%;0;0.00%;26;4.06%
4;14;958;597;10;2;585;62.32%;217;36.47%;13;2.18%;195;32.77%;44;7.39%;46;7.73%;4;0.67%;5;0.84%;11;1.85%;30;5.04%;3;0.50%;0;0.00%;17;2.86%
4;15;828;498;7;3;488;60.14%;216;43.64%;6;1.21%;134;27.07%;50;10.10%;39;7.88%;2;0.40%;3;0.61%;3;0.61%;24;4.85%;0;0.00%;1;0.20%;10;2.02%
4;16;949;598;13;2;583;63.01%;236;39.60%;11;1.85%;151;25.34%;56;9.40%;59;9.90%;4;0.67%;0;0.00%;5;0.84%;40;6.71%;1;0.17%;4;0.67%;16;2.68%
4;17;1115;684;17;4;663;61.35%;211;31.03%;20;2.94%;213;31.32%;62;9.12%;50;7.35%;12;1.76%;1;0.15%;19;2.79%;57;8.38%;1;0.15%;2;0.29%;15;2.21%
4;18;1825;953;13;12;928;52.22%;216;22.95%;73;7.76%;258;27.42%;101;10.73%;59;6.27%;10;1.06%;17;1.81%;38;4.04%;120;12.75%;11;1.17%;1;0.11%;24;2.55%
4;19;901;424;14;6;404;47.06%;39;9.33%;37;8.85%;75;17.94%;71;16.99%;39;9.33%;6;1.44%;7;1.67%;22;5.26%;77;18.42%;18;4.31%;1;0.24%;12;2.87%
4;20;556;212;3;0;209;38.13%;5;2.36%;7;3.30%;17;8.02%;20;9.43%;22;10.38%;4;1.89%;0;0.00%;13;6.13%;102;48.11%;6;2.83%;0;0.00%;13;6.13%
4;21;768;347;6;1;340;45.18%;13;3.76%;35;10.12%;45;13.01%;47;13.58%;29;8.38%;6;1.73%;6;1.73%;31;8.96%;99;28.61%;11;3.18%;1;0.29%;17;4.91%
4;22;1576;620;24;8;588;39.34%;38;6.21%;71;11.60%;90;14.71%;121;19.77%;52;8.50%;9;1.47%;8;1.31%;42;6.86%;101;16.50%;17;2.78%;4;0.65%;35;5.72%
4;23;1508;651;28;8;615;43.17%;47;7.31%;75;11.66%;99;15.40%;92;14.31%;55;8.55%;12;1.87%;18;2.80%;37;5.75%;120;18.66%;18;2.80%;1;0.16%;41;6.38%
4;24;1525;582;10;5;567;38.16%;67;11.61%;64;11.09%;72;12.48%;65;11.27%;54;9.36%;15;2.60%;6;1.04%;49;8.49%;121;20.97%;16;2.77%;4;0.69%;34;5.89%
4;25;916;439;0;10;429;47.93%;62;14.45%;39;9.09%;92;21.45%;54;12.59%;33;7.69%;3;0.70%;7;1.63%;26;6.06%;81;18.88%;10;2.33%;2;0.47%;20;4.66%
4;26;1045;618;11;0;607;59.14%;227;36.73%;17;2.75%;188;30.42%;56;9.06%;35;5.66%;3;0.49%;4;0.65%;9;1.46%;51;8.25%;5;0.81%;1;0.16%;11;1.78%
5;1;1505;674;9;4;661;44.78%;95;14.18%;71;10.60%;154;22.99%;80;11.94%;64;9.55%;13;1.94%;10;1.49%;35;5.22%;101;15.07%;12;1.79%;0;0.00%;26;3.88%
5;2;1095;444;7;4;433;40.55%;39;8.86%;54;12.27%;51;11.59%;54;12.27%;45;10.23%;9;2.05%;10;2.27%;38;8.64%;108;24.55%;7;1.59%;1;0.23%;17;3.86%
5;3;1440;698;11;1;686;48.47%;199;28.55%;28;4.02%;185;26.54%;73;10.47%;56;8.03%;7;1.00%;3;0.43%;30;4.30%;66;9.47%;14;2.01%;1;0.14%;24;3.44%
5;4;1150;601;7;6;588;52.26%;139;23.36%;31;5.21%;158;26.55%;78;13.11%;38;6.39%;4;0.67%;0;0.00%;33;5.55%;82;13.78%;1;0.17%;1;0.17%;23;3.87%
5;5;765;372;5;2;365;48.63%;85;22.97%;12;3.24%;112;30.27%;29;7.84%;34;9.19%;1;0.27%;5;1.35%;28;7.57%;41;11.08%;2;0.54%;2;0.54%;14;3.78%
5;6;1542;821;16;4;801;53.24%;219;26.81%;63;7.71%;240;29.38%;76;9.30%;41;5.02%;5;0.61%;15;1.84%;28;3.43%;86;10.53%;6;0.73%;2;0.24%;20;2.45%
5;7;870;514;10;1;503;59.08%;117;22.81%;28;5.46%;160;31.19%;64;12.48%;29;5.65%;5;0.97%;10;1.95%;21;4.09%;47;9.16%;4;0.78%;1;0.19%;17;3.31%
