Districte;Secció;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona ;Bruta - Neta Hogar;Bruta - Neta Persona;Presión fiscal Hogar;Presión fiscal Persona;CDIS;CSEC;Pressió H;Pressió P
3;4;36.293;14.490;30.472;12.166;5.821;2.324;16.04%;16.04%;3;4;0.1604;0.1604
3;5;42.643;18.010;34.429;14.541;8.214;3.469;19.26%;19.26%;3;5;0.1926;0.1926
3;6;53.767;19.898;42.953;15.896;10.814;4.002;20.11%;20.11%;3;6;0.2011;0.2011
3;7;46.879;19.037;37.850;15.371;9.029;3.666;19.26%;19.26%;3;7;0.1926;0.1926
3;8;34.527;13.902;29.922;12.048;4.605;1.854;13.34%;13.34%;3;8;0.1334;0.1334
3;14;34.897;12.595;29.578;10.676;5.319;1.919;15.24%;15.24%;3;14;0.1524;0.1524
3;15;36.805;14.985;31.022;12.630;5.783;2.355;15.71%;15.72%;3;15;0.1571;0.1572
3;16;29.074;10.091;25.930;9.000;3.144;1.091;10.81%;10.81%;3;16;0.1081;0.1081
3;17;31.021;11.639;27.291;10.240;3.730;1.399;12.02%;12.02%;3;17;0.1202;0.1202
3;18;37.818;14.290;31.938;12.068;5.880;2.222;15.55%;15.55%;3;18;0.1555;0.1555
3;19;31.521;11.141;27.419;9.691;4.102;1.450;13.01%;13.01%;3;19;0.1301;0.1301
3;20;37.484;14.989;31.427;12.567;6.057;2.422;16.16%;16.16%;3;20;0.1616;0.1616
4;1;60.651;23.515;47.377;18.369;13.274;5.146;21.89%;21.88%;4;1;0.2189;0.2188
4;2;49.797;20.186;39.970;16.203;9.827;3.983;19.73%;19.73%;4;2;0.1973;0.1973
4;3;48.284;18.910;39.138;15.328;9.146;3.582;18.94%;18.94%;4;3;0.1894;0.1894
4;4;42.796;17.781;35.032;14.555;7.764;3.226;18.14%;18.14%;4;4;0.1814;0.1814
4;5;40.507;16.321;33.492;13.495;7.015;2.826;17.32%;17.32%;4;5;0.1732;0.1732
4;6;38.551;14.839;32.584;12.542;5.967;2.297;15.48%;15.48%;4;6;0.1548;0.1548
4;7;39.492;15.301;33.093;12.822;6.399;2.479;16.20%;16.20%;4;7;0.1620;0.162
4;8;37.970;15.301;31.782;12.807;6.188;2.494;16.30%;16.30%;4;8;0.1630;0.163
4;9;34.593;13.380;29.879;11.557;4.714;1.823;13.63%;13.62%;4;9;0.1363;0.1362
4;10;48.597;10.113;42.719;8.890;5.878;1.223;12.10%;12.09%;4;10;0.1210;0.1209
4;12;41.055;16.554;34.347;13.849;6.708;2.705;16.34%;16.34%;4;12;0.1634;0.1634
4;13;49.856;20.217;40.008;16.223;9.848;3.994;19.75%;19.76%;4;13;0.1975;0.1976
4;14;60.589;23.293;46.923;18.039;13.666;5.254;22.56%;22.56%;4;14;0.2256;0.2256
4;15;61.650;24.373;47.420;18.748;14.230;5.625;23.08%;23.08%;4;15;0.2308;0.2308
4;16;56.404;23.076;42.936;17.566;13.468;5.510;23.88%;23.88%;4;16;0.2388;0.2388
4;17;54.274;22.156;42.587;17.385;11.687;4.771;21.53%;21.53%;4;17;0.2153;0.2153
4;18;44.094;17.769;35.930;14.479;8.164;3.290;18.51%;18.52%;4;18;0.1851;0.1852
4;19;42.572;15.897;35.563;13.280;7.009;2.617;16.46%;16.46%;4;19;0.1646;0.1646
4;20;30.729;10.891;27.056;9.589;3.673;1.302;11.95%;11.95%;4;20;0.1195;0.1195
4;21;36.982;12.614;31.823;10.854;5.159;1.760;13.95%;13.95%;4;21;0.1395;0.1395
