Elecció;Any;% PxC;Participació;PP;PSC;% ICV;% CUP;% PSC;PACMA;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CiU;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;% CiU;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;PxC;% PP;ICV;Secció;CUP;Altres;% Altres
Parlament;2012;3.15;69.65;127;312;8.88;1.67;28.86;12;1.11;10.55;1066;15;177;114;1042;1057;16.37;9;108;1;1552;9.99;34;11.75;96;14;18;44;4.22%
Parlament;2012;6.03;59.76;68;133;11.31;1.26;33.42;2;0.5;9.8;393;5;39;39;383;388;9.8;5;22;6;666;5.53;24;17.09;45;14;5;6;1.57%
Parlament;2012;1.31;71.46;52;98;12.01;3.92;25.59;3;0.78;8.36;379;4;72;32;373;377;18.8;2;42;5;536;10.97;5;13.58;46;22;15;8;2.14%
Parlament;2012;1.41;76.59;92;173;8.56;3.48;16.27;7;0.66;6.02;1053;10;363;64;1035;1045;34.15;8;162;5;1388;15.24;15;8.65;91;8;37;31;3.00%
Parlament;2012;1.75;78.08;60;115;11.07;2.43;15.52;6;0.81;7.69;719;22;219;57;694;716;29.55;3;99;5;949;13.36;13;8.1;82;27;18;25;3.60%
Parlament;2012;5.35;65.86;32;90;11.83;1.13;25.35;3;0.85;18.59;345;10;32;66;332;342;9.01;3;32;6;539;9.01;19;9.01;42;30;4;12;3.61%
Parlament;2012;2.23;62.27;78;199;10.78;0.74;36.99;4;0.74;14.87;527;11;37;80;509;520;6.88;7;25;3;864;4.65;12;14.5;58;17;4;12;2.36%
Parlament;2012;4.17;73.72;53;134;13.73;2.31;20.68;10;1.54;12.35;638;10;118;80;625;635;18.21;3;75;5;879;11.57;27;8.18;89;29;15;24;3.84%
Parlament;2012;8.79;65.09;53;150;12.75;1.54;32.97;6;1.32;12.97;450;5;31;59;444;449;6.81;1;21;2;699;4.62;40;11.65;58;8;7;19;4.28%
Parlament;2012;2.04;70.44;90;223;11.8;3.28;19.79;11;0.98;7.99;1119;8;300;90;1106;1114;26.62;5;164;6;1600;14.55;23;7.99;133;8;37;35;3.16%
