Elecció;Any;CDIS;CSEC;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Comuns Sumar;% Comuns Sumar;Cs;% Cs;ERC;% ERC;Junts;% Junts;PACMA;% PACMA;Podemos;% Podemos;PP;% PP;PSC;% PSC;SALF;% SALF;VOX;% VOX;Altres;% Altres
Europees;2024;02;015;0827902015;2;15;559;112;3;1;108;20.04%;8;7.21%;1;0.90%;5;4.50%;0;0.00%;2;1.80%;6;5.41%;13;11.71%;43;38.74%;7;6.31%;18;16.22%;5;4.63%
Europees;2024;02;016;0827902016;2;16;1588;585;1;2;582;36.84%;30;5.15%;9;1.54%;61;10.46%;33;5.66%;17;2.92%;53;9.09%;76;13.04%;162;27.79%;43;7.38%;78;13.38%;20;3.44%
Europees;2024;02;017;0827902017;2;17;1548;451;2;1;448;29.13%;20;4.44%;7;1.56%;26;5.78%;15;3.33%;12;2.67%;20;4.44%;59;13.11%;174;38.67%;27;6.00%;70;15.56%;18;4.02%
Europees;2024;03;001;0827903001;3;1;1301;555;9;0;546;42.66%;25;4.50%;1;0.18%;47;8.47%;78;14.05%;15;2.70%;28;5.05%;64;11.53%;138;24.86%;25;4.50%;33;5.95%;92;16.85%
Europees;2024;03;002;0827903002;3;2;1094;509;4;1;504;46.53%;19;3.74%;1;0.20%;51;10.04%;62;12.20%;14;2.76%;24;4.72%;64;12.60%;192;37.80%;18;3.54%;45;8.86%;14;2.78%
Europees;2024;03;003;0827903003;3;3;1186;450;3;2;445;37.94%;16;3.57%;3;0.67%;46;10.27%;49;10.94%;14;3.13%;8;1.79%;48;10.71%;168;37.50%;15;3.35%;24;5.36%;54;12.13%
Europees;2024;03;004;0827903004;3;4;955;321;2;2;317;33.61%;13;4.08%;2;0.63%;29;9.09%;19;5.96%;4;1.25%;18;5.64%;47;14.73%;130;40.75%;17;5.33%;29;9.09%;9;2.84%
Europees;2024;03;005;0827903005;3;5;1801;784;5;8;771;43.53%;41;5.28%;6;0.77%;145;18.69%;130;16.75%;13;1.68%;38;4.90%;63;8.12%;245;31.57%;25;3.22%;44;5.67%;21;2.72%
Europees;2024;03;006;0827903006;3;6;1642;736;2;8;726;44.82%;43;5.91%;4;0.55%;125;17.17%;176;24.18%;17;2.34%;32;4.40%;79;10.85%;171;23.49%;38;5.22%;27;3.71%;14;1.93%
Europees;2024;03;007;0827903007;3;7;1692;739;1;1;737;43.68%;41;5.56%;9;1.22%;136;18.43%;125;16.94%;13;1.76%;31;4.20%;80;10.84%;201;27.24%;30;4.07%;59;7.99%;12;1.63%
Europees;2024;03;008;0827903008;3;8;1531;579;2;4;573;37.82%;20;3.48%;3;0.52%;47;8.17%;18;3.13%;12;2.09%;39;6.78%;65;11.30%;266;46.26%;21;3.65%;65;11.30%;17;2.97%
Europees;2024;03;014;0827903014;3;14;1134;358;1;2;355;31.57%;9;2.53%;4;1.12%;26;7.30%;30;8.43%;6;1.69%;13;3.65%;47;13.20%;150;42.13%;15;4.21%;47;13.20%;8;2.25%
Europees;2024;03;015;0827903015;3;15;917;412;5;2;405;44.93%;13;3.17%;1;0.24%;40;9.76%;43;10.49%;7;1.71%;29;7.07%;67;16.34%;153;37.32%;7;1.71%;33;8.05%;12;2.96%
Europees;2024;03;016;0827903016;3;16;791;257;2;0;255;32.49%;5;1.95%;4;1.56%;7;2.72%;9;3.50%;2;0.78%;7;2.72%;48;18.68%;127;49.42%;7;2.72%;34;13.23%;5;1.96%
Europees;2024;03;017;0827903017;3;17;834;318;2;0;316;38.13%;14;4.40%;2;0.63%;14;4.40%;5;1.57%;4;1.26%;7;2.20%;55;17.30%;145;45.60%;16;5.03%;43;13.52%;11;3.48%
Europees;2024;03;018;0827903018;3;18;799;318;2;2;314;39.80%;9;2.85%;4;1.27%;13;4.11%;12;3.80%;10;3.16%;21;6.65%;56;17.72%;114;36.08%;11;3.48%;45;14.24%;19;6.05%
Europees;2024;03;019;0827903019;3;19;880;301;4;1;296;34.20%;16;5.33%;3;1.00%;12;4.00%;15;5.00%;2;0.67%;10;3.33%;59;19.67%;127;42.33%;16;5.33%;28;9.33%;8;2.70%
Europees;2024;03;020;0827903020;3;20;1212;506;6;0;500;41.75%;24;4.74%;7;1.38%;67;13.24%;52;10.28%;10;1.98%;27;5.34%;51;10.08%;182;35.97%;21;4.15%;44;8.70%;15;3.00%
Europees;2024;04;001;0827904001;4;1;1139;550;3;0;547;48.29%;26;4.73%;2;0.36%;104;18.91%;175;31.82%;4;0.73%;26;4.73%;72;13.09%;109;19.82%;9;1.64%;14;2.55%;6;1.10%
Europees;2024;04;002;0827904002;4;2;1165;542;1;3;538;46.52%;26;4.82%;1;0.19%;113;20.96%;186;34.51%;6;1.11%;21;3.90%;34;6.31%;119;22.08%;5;0.93%;17;3.15%;10;1.86%
Europees;2024;04;003;0827904003;4;3;1356;634;5;2;627;46.76%;24;3.80%;1;0.16%;123;19.46%;126;19.94%;9;1.42%;24;3.80%;81;12.82%;166;26.27%;14;2.22%;51;8.07%;8;1.28%
Europees;2024;04;004;0827904004;4;4;1131;492;2;5;485;43.50%;21;4.31%;1;0.21%;96;19.71%;94;19.30%;9;1.85%;6;1.23%;53;10.88%;152;31.21%;13;2.67%;36;7.39%;4;0.82%
Europees;2024;04;005;0827904005;4;5;1342;506;1;3;502;37.70%;20;3.98%;4;0.80%;83;16.50%;74;14.71%;17;3.38%;30;5.96%;55;10.93%;163;32.41%;20;3.98%;30;5.96%;6;1.20%
Europees;2024;04;006;0827904006;4;6;1505;603;3;2;598;40.07%;29;4.83%;1;0.17%;78;12.98%;58;9.65%;15;2.50%;15;2.50%;74;12.31%;216;35.94%;25;4.16%;59;9.82%;28;4.68%
Europees;2024;04;007;0827904007;4;7;1871;671;6;2;663;35.86%;25;3.74%;5;0.75%;66;9.87%;61;9.12%;8;1.20%;30;4.48%;98;14.65%;258;38.57%;14;2.09%;80;11.96%;18;2.71%
Europees;2024;04;008;0827904008;4;8;1003;320;4;1;315;31.90%;18;5.64%;4;1.25%;39;12.23%;23;7.21%;9;2.82%;16;5.02%;46;14.42%;102;31.97%;19;5.96%;25;7.84%;14;4.44%
Europees;2024;04;009;0827904009;4;9;754;243;2;0;241;32.23%;12;4.94%;1;0.41%;10;4.12%;7;2.88%;3;1.23%;14;5.76%;44;18.11%;111;45.68%;10;4.12%;23;9.47%;6;2.49%
Europees;2024;04;010;0827904010;4;10;705;255;1;1;253;36.17%;11;4.33%;2;0.79%;11;4.33%;13;5.12%;4;1.57%;8;3.15%;33;12.99%;117;46.06%;10;3.94%;35;13.78%;9;3.56%
Europees;2024;04;012;0827904012;4;12;1036;474;6;2;466;45.75%;26;5.51%;1;0.21%;79;16.74%;77;16.31%;5;1.06%;25;5.30%;50;10.59%;144;30.51%;12;2.54%;37;7.84%;10;2.15%
Europees;2024;04;013;0827904013;4;13;1253;577;0;1;576;46.05%;42;7.29%;5;0.87%;107;18.58%;121;21.01%;3;0.52%;32;5.56%;46;7.99%;170;29.51%;15;2.60%;21;3.65%;14;2.43%
Europees;2024;04;014;0827904014;4;14;1049;542;5;5;532;51.67%;21;3.91%;1;0.19%;90;16.76%;186;34.64%;11;2.05%;24;4.47%;56;10.43%;104;19.37%;11;2.05%;17;3.17%;11;2.07%
Europees;2024;04;015;0827904015;4;15;922;469;3;1;465;50.87%;26;5.56%;1;0.21%;81;17.31%;164;35.04%;4;0.85%;20;4.27%;58;12.39%;85;18.16%;8;1.71%;10;2.14%;8;1.72%
Europees;2024;04;016;0827904016;4;16;970;493;2;1;490;50.82%;19;3.86%;2;0.41%;72;14.63%;177;35.98%;4;0.81%;15;3.05%;58;11.79%;108;21.95%;8;1.63%;18;3.66%;9;1.84%
Europees;2024;04;017;0827904017;4;17;1267;716;6;2;708;56.51%;20;2.80%;5;0.70%;139;19.47%;190;26.61%;8;1.12%;42;5.88%;63;8.82%;171;23.95%;12;1.68%;45;6.30%;13;1.84%
Europees;2024;04;018;0827904018;4;18;1955;949;6;4;939;48.54%;42;4.44%;4;0.42%;172;18.20%;192;20.32%;12;1.27%;41;4.34%;98;10.37%;257;27.20%;34;3.60%;67;7.09%;20;2.13%
Europees;2024;04;019;0827904019;4;19;908;388;4;1;383;42.73%;16;4.13%;2;0.52%;40;10.34%;40;10.34%;8;2.07%;22;5.68%;72;18.60%;124;32.04%;12;3.10%;42;10.85%;5;1.31%
Europees;2024;04;020;0827904020;4;20;527;178;3;2;173;33.78%;4;2.27%;0;0.00%;13;7.39%;3;1.70%;4;2.27%;5;2.84%;29;16.48%;80;45.45%;17;9.66%;16;9.09%;2;1.16%
Europees;2024;04;021;0827904021;4;21;791;295;2;1;292;37.29%;5;1.70%;2;0.68%;17;5.78%;14;4.76%;8;2.72%;17;5.78%;34;11.56%;150;51.02%;8;2.72%;31;10.54%;6;2.05%
Europees;2024;04;022;0827904022;4;22;1726;620;2;4;614;35.92%;39;6.33%;0;0.00%;70;11.36%;38;6.17%;6;0.97%;26;4.22%;95;15.42%;228;37.01%;31;5.03%;71;11.53%;10;1.63%
Europees;2024;04;023;0827904023;4;23;1734;740;5;5;730;42.68%;40;5.44%;3;0.41%;77;10.48%;36;4.90%;12;1.63%;45;6.12%;81;11.02%;277;37.69%;49;6.67%;81;11.02%;29;3.97%
Europees;2024;04;024;0827904024;4;24;1893;728;2;3;723;38.46%;37;5.10%;2;0.28%;74;10.21%;46;6.34%;6;0.83%;37;5.10%;107;14.76%;252;34.76%;51;7.03%;88;12.14%;23;3.18%
Europees;2024;04;025;0827904025;4;25;879;433;4;2;427;49.26%;24;5.57%;5;1.16%;52;12.06%;50;11.60%;5;1.16%;20;4.64%;66;15.31%;157;36.43%;14;3.25%;26;6.03%;8;1.87%
Europees;2024;04;026;0827904026;4;26;1178;609;0;3;606;51.70%;47;7.76%;1;0.17%;111;18.32%;153;25.25%;10;1.65%;38;6.27%;68;11.22%;138;22.77%;12;1.98%;20;3.30%;8;1.32%
Europees;2024;05;001;0827905001;5;1;1580;726;6;7;713;45.95%;30;4.17%;10;1.39%;107;14.88%;84;11.68%;6;0.83%;25;3.48%;108;15.02%;235;32.68%;39;5.42%;59;8.21%;10;1.40%
Europees;2024;05;002;0827905002;5;2;1086;484;2;0;482;44.57%;20;4.13%;3;0.62%;35;7.23%;18;3.72%;10;2.07%;19;3.93%;74;15.29%;206;42.56%;26;5.37%;60;12.40%;11;2.28%
Europees;2024;05;003;0827905003;5;3;1540;677;2;1;674;43.96%;29;4.29%;2;0.30%;134;19.82%;128;18.93%;2;0.30%;45;6.66%;76;11.24%;177;26.18%;19;2.81%;41;6.07%;21;3.12%
