Elecció;Any;Districte;Secció;Participació;PP;PSC;% UNIO.CAT;% JxSí;% CUP;% PSC;PACMA;UNIO.CAT;JxSí;% CSQP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CSQP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;NUM_ELECTORS;% PP;CUP;Altres;% Altres
Parlament;2015;5;15;71.12;77;235;1.81;19.73;6.2;22.4;8;19;207;13.25;0.76;25.26;1044;5;139;265;1031;1036;8;1475;7.34;65;16;1.55%
Parlament;2015;5;16;75.13;120;255;1.95;21.95;5.16;17.77;17;28;315;14.36;1.18;27.32;1429;6;206;392;1416;1422;7;1910;8.36;74;9;0.64%
Parlament;2015;5;17;82.64;46;128;1.9;31.27;6.56;12.17;4;20;329;15.21;0.38;26.33;1044;8;160;277;1035;1043;1;1273;4.37;69;2;0.19%
Parlament;2015;5;18;78.35;90;152;2.09;17.34;4.43;19.82;9;16;133;16.43;1.17;24.51;760;7;126;188;750;757;3;979;11.73;34;2;0.27%
Parlament;2015;5;19;80.76;24;69;1.48;36.54;8.14;10.21;6;10;247;12.43;0.89;24.26;672;4;84;164;667;671;1;837;3.55;55;8;1.20%
Parlament;2015;5;20;81.96;40;107;3.19;41.26;11.42;11.01;7;31;401;9.77;0.72;16.67;966;6;95;162;957;963;3;1186;4.12;111;3;0.31%
Parlament;2015;5;21;81.22;106;176;2.09;31.15;7.5;15.36;9;24;357;12.13;0.79;19.9;1137;9;139;228;1127;1136;1;1411;9.25;86;2;0.18%
Parlament;2015;5;22;77.23;41;69;2.59;28.77;8.49;16.27;7;11;122;10.14;1.65;21.7;424;0;43;92;424;424;0;549;9.67;36;3;0.71%
Parlament;2015;5;23;82.8;36;107;2.27;49.2;10.1;10.1;3;24;521;8.4;0.28;13.6;1048;11;89;144;1034;1045;3;1279;3.4;107;3;0.29%
Parlament;2015;5;24;78.22;51;117;2.98;31.71;7.29;12.93;11;27;287;13.15;1.22;23.98;903;2;119;217;898;900;3;1157;5.64;66;3;0.33%
Parlament;2015;5;25;81.78;47;123;2.4;25.67;5.64;17.35;4;17;182;13.54;0.56;25.53;703;6;96;181;694;700;3;867;6.63;40;4;0.58%
Parlament;2015;5;26;84.97;61;76;2.83;47.41;6.72;8.96;2;24;402;8.37;0.24;17.22;847;1;71;146;842;843;4;998;7.19;57;3;0.36%
Parlament;2015;5;27;82.9;34;83;2.28;42.03;9.49;10.51;9;18;332;8.61;1.14;19.11;782;8;68;151;773;781;1;953;4.3;75;3;0.39%
Parlament;2015;5;28;81.31;38;124;2.37;19.64;7.24;17.27;3;17;141;16.43;0.42;28.69;711;7;118;206;703;710;1;883;5.29;52;4;0.57%
Parlament;2015;5;29;81.7;31;94;2.28;28.1;6.85;13.41;10;16;197;13.84;1.43;27.96;698;3;97;196;694;697;1;858;4.42;48;5;0.72%
Parlament;2015;6;1;77.97;64;197;0.88;16.4;3.95;28.84;8;6;112;12.15;1.17;24.45;680;3;83;167;672;675;5;876;9.37;27;8;1.19%
Parlament;2015;6;2;71.94;60;149;1.19;25.33;6.06;17.72;12;10;213;13.44;1.43;26.28;838;3;113;221;832;835;3;1169;7.13;51;3;0.36%
Parlament;2015;6;3;73.7;119;213;1.67;16.77;6.3;19.74;11;18;181;13.25;1.02;28.17;1073;6;143;304;1064;1070;3;1464;11.03;68;7;0.66%
Parlament;2015;6;4;69.07;74;114;1.85;22.73;7.58;19.19;11;11;135;9.93;1.85;22.56;591;3;59;134;585;588;3;860;12.46;45;2;0.34%
Parlament;2015;6;5;71.85;55;133;1.78;20.1;7;16.92;7;14;158;17.18;0.89;26.97;784;2;135;212;780;782;2;1094;7;55;11;1.41%
Parlament;2015;6;6;75.34;58;124;1.08;12.47;5.64;14.87;19;9;104;16.19;2.28;38.25;829;5;135;319;822;827;2;1107;6.95;47;7;0.85%
Parlament;2015;6;8;79.41;75;176;2.55;34.13;8.44;13.62;5;33;441;11.38;0.39;21.21;1280;12;147;274;1265;1277;3;1627;5.8;109;5;0.40%
Parlament;2015;6;9;77.84;50;140;1.64;20.57;7.75;20.86;3;11;138;12.22;0.45;26.83;665;6;82;180;659;665;0;862;7.45;52;3;0.46%
Parlament;2015;6;10;78.79;87;246;1.29;19.32;7.03;19.89;9;16;239;13.58;0.73;29.99;1236;1;168;371;1225;1226;10;1570;7.03;87;2;0.16%
Parlament;2015;6;11;66.85;83;172;1.53;14.69;5.05;20.21;8;13;125;15.39;0.94;28.91;845;6;131;246;834;840;5;1273;9.75;43;13;1.56%
Parlament;2015;6;12;73.35;71;143;1.48;21.42;7.53;21.12;6;10;145;12.26;0.89;22.16;671;6;83;150;659;665;6;923;10.49;51;0;0.00%
Parlament;2015;6;13;74.44;52;122;0.94;10.57;6.04;23.02;5;5;56;16.42;0.94;30;529;1;87;159;527;528;1;712;9.81;32;9;1.71%
Parlament;2015;6;14;67.36;58;123;2.07;14.7;5.38;25.47;4;10;71;13.04;0.83;23.4;478;5;63;113;473;478;0;717;12.01;26;5;1.06%
Parlament;2015;6;16;66.9;69;138;3.03;19.87;6.97;18.16;10;23;151;14.87;1.32;24.87;756;4;113;189;749;753;3;1136;9.08;53;3;0.40%
Parlament;2015;6;18;68.26;79;176;0.48;11.59;3.02;27.94;4;3;73;14.29;0.63;26.83;627;3;90;169;621;624;3;923;12.54;19;8;1.29%
Parlament;2015;6;20;65.18;85;197;0.52;11.94;5.12;25.85;10;4;91;13.78;1.31;27.03;752;10;105;206;741;751;1;1169;11.15;39;4;0.54%
Parlament;2015;6;23;72.04;59;137;2.9;12.02;4.42;18.92;4;21;87;15.33;0.55;35.64;720;4;111;258;714;718;2;1005;8.15;32;5;0.70%
Parlament;2015;6;24;76.88;98;240;1.73;13.99;5.55;17.3;15;24;194;17.02;1.08;32.66;1371;16;236;453;1351;1367;4;1804;7.07;77;14;1.04%
Parlament;2015;6;25;74.77;99;186;1.55;16.25;4.74;17.99;12;16;168;15.28;1.16;30.56;1025;9;158;316;1014;1023;2;1383;9.57;49;10;0.99%
Parlament;2015;6;26;75.52;67;189;1.1;15.38;5.93;20.77;12;10;140;14.95;1.32;31.54;908;2;136;287;903;905;3;1205;7.36;54;8;0.89%
Parlament;2015;6;27;72.05;56;202;0.86;11.7;1.85;28.82;10;6;82;13.12;1.43;31.38;695;6;92;220;686;692;3;973;7.99;13;5;0.73%
Parlament;2015;6;28;80.17;71;189;1.15;13.63;5.24;19.81;7;11;130;18.24;0.73;32.29;950;4;174;308;944;948;2;1190;7.44;50;4;0.42%
Parlament;2015;6;29;77.26;47;103;0.84;12.04;6.35;17.22;7;5;72;16.39;1.17;36.79;597;1;98;220;596;597;0;774;7.86;38;6;1.01%
Parlament;2015;6;30;77.25;18;70;1.9;15.68;6.65;16.63;2;8;66;18.05;0.48;33.97;418;3;76;143;414;417;1;545;4.28;28;3;0.72%
Parlament;2015;6;31;70.49;36;105;3.06;14.72;7.46;20.08;3;16;77;16.06;0.57;29.83;522;1;84;156;518;519;3;742;6.88;39;2;0.39%
Parlament;2015;6;32;79.85;29;58;0.93;15.74;5.09;13.43;6;4;68;16.2;1.39;36.81;426;6;70;159;419;425;1;541;6.71;22;3;0.72%
Parlament;2015;6;33;81.09;42;103;2.69;25.03;5.98;12.58;14;22;205;13.92;1.71;30.89;813;6;114;253;805;811;2;1010;5.13;49;3;0.37%
