Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU;% CiU;PP;% PP;ICV;% ICV;ERC;% ERC;EUiA;% EUiA;Verds;% Verds;Altres;% Altres
Municipals;1999;5;10;1942;1034;10;6;1018;53.24%;679;66.05%;58;5.64%;92;8.95%;71;6.91%;22;2.14%;67;6.52%;28;2.72%;1;0.10%
Municipals;1999;5;11;1579;789;12;5;772;49.97%;346;44.13%;139;17.73%;116;14.80%;48;6.12%;47;5.99%;20;2.55%;52;6.63%;4;0.51%
Municipals;1999;5;12;652;328;6;1;321;50.31%;184;56.27%;38;11.62%;53;16.21%;20;6.12%;14;4.28%;2;0.61%;10;3.06%;0;0.00%
Municipals;1999;5;13;811;350;4;1;345;43.16%;261;74.79%;18;5.16%;28;8.02%;10;2.87%;12;3.44%;6;1.72%;8;2.29%;2;0.57%
Municipals;1999;5;14;1452;683;5;4;674;47.04%;406;59.79%;73;10.75%;76;11.19%;50;7.36%;24;3.53%;31;4.57%;11;1.62%;3;0.44%
Municipals;1999;5;15;1596;805;18;1;786;50.44%;496;61.69%;55;6.84%;72;8.96%;44;5.47%;16;1.99%;72;8.96%;25;3.11%;6;0.75%
Municipals;1999;5;16;1673;834;12;7;815;49.85%;527;63.72%;64;7.74%;103;12.45%;51;6.17%;21;2.54%;20;2.42%;25;3.02%;4;0.48%
Municipals;1999;5;17;1795;708;22;6;680;39.44%;388;55.27%;114;16.24%;68;9.69%;50;7.12%;27;3.85%;14;1.99%;18;2.56%;1;0.14%
Municipals;1999;5;18;1287;677;20;2;655;52.60%;363;53.78%;64;9.48%;116;17.19%;47;6.96%;21;3.11%;22;3.26%;19;2.81%;3;0.44%
Municipals;1999;5;19;949;378;8;0;370;39.83%;204;53.97%;50;13.23%;54;14.29%;21;5.56%;8;2.12%;24;6.35%;9;2.38%;0;0.00%
Municipals;1999;5;20;1008;503;9;2;492;49.90%;237;47.31%;76;15.17%;56;11.18%;28;5.59%;40;7.98%;14;2.79%;36;7.19%;5;1.00%
Municipals;1999;5;21;1498;802;26;1;775;53.54%;434;54.18%;117;14.61%;83;10.36%;46;5.74%;28;3.50%;32;4.00%;33;4.12%;2;0.25%
Municipals;1999;5;22;596;283;4;0;279;47.48%;165;58.30%;31;10.95%;35;12.37%;26;9.19%;9;3.18%;7;2.47%;5;1.77%;1;0.35%
Municipals;1999;6;1;1004;478;6;0;472;47.61%;301;62.97%;36;7.53%;60;12.55%;44;9.21%;13;2.72%;15;3.14%;2;0.42%;1;0.21%
Municipals;1999;6;2;1336;612;7;0;605;45.81%;367;59.97%;60;9.80%;66;10.78%;35;5.72%;25;4.08%;29;4.74%;20;3.27%;3;0.49%
Municipals;1999;6;3;1575;657;22;1;634;41.71%;400;60.98%;57;8.69%;62;9.45%;66;10.06%;7;1.07%;26;3.96%;14;2.13%;2;0.30%
Municipals;1999;6;4;1188;590;13;5;572;49.66%;266;45.47%;79;13.50%;114;19.49%;48;8.21%;30;5.13%;14;2.39%;21;3.59%;0;0.00%
Municipals;1999;6;5;846;358;4;2;352;42.32%;185;51.97%;42;11.80%;48;13.48%;38;10.67%;18;5.06%;11;3.09%;9;2.53%;1;0.28%
Municipals;1999;6;6;1505;637;9;6;622;42.33%;368;58.32%;35;5.55%;63;9.98%;69;10.94%;13;2.06%;50;7.92%;23;3.65%;1;0.16%
Municipals;1999;6;8;1473;718;9;3;706;48.74%;367;51.33%;110;15.38%;66;9.23%;58;8.11%;66;9.23%;7;0.98%;31;4.34%;1;0.14%
Municipals;1999;6;9;944;445;2;0;443;47.14%;289;64.94%;40;8.99%;38;8.54%;42;9.44%;10;2.25%;8;1.80%;14;3.15%;2;0.45%
Municipals;1999;6;10;1804;780;12;5;763;43.24%;472;60.90%;53;6.84%;89;11.48%;67;8.65%;25;3.23%;28;3.61%;27;3.48%;2;0.26%
Municipals;1999;6;11;1535;564;9;3;552;36.74%;358;63.81%;26;4.63%;60;10.70%;41;7.31%;10;1.78%;20;3.57%;33;5.88%;4;0.71%
Municipals;1999;6;12;1140;561;11;0;550;49.21%;328;58.47%;57;10.16%;69;12.30%;53;9.45%;14;2.50%;11;1.96%;16;2.85%;2;0.36%
Municipals;1999;6;13;796;460;9;3;448;57.79%;270;59.08%;21;4.60%;49;10.72%;47;10.28%;5;1.09%;43;9.41%;13;2.84%;0;0.00%
Municipals;1999;6;14;908;378;4;2;372;41.63%;239;63.56%;26;6.91%;38;10.11%;36;9.57%;7;1.86%;11;2.93%;14;3.72%;1;0.27%
