Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CiU;% CiU;CUP;% CUP;ERC;% ERC;PP;% PP;PSC;% PSC;PxC;% PxC;En Comú;% En Comú;Altres;% Altres
Municipals;2015;3;8;8279803008;1575;812;12;1;799;51,49%;68;8,38%;23;2,84%;5;0,62%;40;4,93%;57;7,03%;389;47,97%;4;0,49%;203;25,03%;10;0.0125
Municipals;2015;3;9;8279803009;1948;1070;13;9;1048;54,47%;147;13,85%;120;11,31%;77;7,26%;141;13,29%;44;4,15%;228;21,49%;26;2,45%;250;23,56%;15;0.0143
Municipals;2015;3;10;8279803010;1551;715;15;6;694;45,71%;102;14,39%;12;1,69%;16;2,26%;28;3,95%;32;4,51%;290;40,90%;19;2,68%;176;24,82%;19;0.0274
Municipals;2015;3;11;8279803011;1146;457;7;5;445;39,44%;69;15,27%;10;2,21%;2;0,44%;21;4,65%;17;3,76%;210;46,46%;14;3,10%;93;20,58%;9;0.0202
Municipals;2015;3;12;8279803012;1756;912;20;5;887;51,65%;182;20,07%;32;3,53%;34;3,75%;48;5,29%;89;9,81%;302;33,30%;18;1,98%;170;18,74%;12;0.0135
Municipals;2015;3;14;8279803014;1117;501;9;3;489;44,58%;52;10,44%;24;4,82%;29;5,82%;47;9,44%;51;10,24%;170;34,14%;18;3,61%;95;19,08%;3;0.0061
Municipals;2015;3;15;8279803015;939;512;7;7;498;53,78%;46;9,11%;42;8,32%;29;5,74%;55;10,89%;33;6,53%;184;36,44%;4;0,79%;99;19,60%;6;0.0120
Municipals;2015;3;16;8279803016;652;365;5;4;356;55,37%;45;12,47%;3;0,83%;6;1,66%;10;2,77%;30;8,31%;165;45,71%;11;3,05%;82;22,71%;4;0.0112
Municipals;2015;3;17;8279803017;876;430;6;2;422;48,86%;67;15,65%;5;1,17%;4;0,93%;18;4,21%;29;6,78%;197;46,03%;8;1,87%;85;19,86%;9;0.0213
Municipals;2015;3;18;8279803018;747;422;1;3;418;56,09%;58;13,84%;7;1,67%;8;1,91%;22;5,25%;24;5,73%;181;43,20%;13;3,10%;96;22,91%;9;0.0215
Municipals;2015;3;19;8279803019;928;440;7;5;428;46,88%;56;12,87%;12;2,76%;13;2,99%;26;5,98%;31;7,13%;199;45,75%;5;1,15%;83;19,08%;3;0.0070
Municipals;2015;3;20;8279803020;1189;625;11;2;612;52,40%;63;10,11%;53;8,51%;38;6,10%;71;11,40%;30;4,82%;197;31,62%;14;2,25%;141;22,63%;5;0.0082
Municipals;2015;4;1;8279804001;1121;647;7;3;637;57,45%;31;4,81%;232;36,02%;64;9,94%;116;18,01%;43;6,68%;87;13,51%;5;0,78%;52;8,07%;7;0.0110
Municipals;2015;4;2;8279804002;1131;687;7;0;680;60,74%;41;5,97%;208;30,28%;51;7,42%;171;24,89%;21;3,06%;103;14,99%;5;0,73%;73;10,63%;7;0.0103
Municipals;2015;4;3;8279804003;1246;705;4;2;699;56,42%;36;5,12%;140;19,91%;69;9,82%;134;19,06%;48;6,83%;153;21,76%;10;1,42%;103;14,65%;6;0.0086
Municipals;2015;4;4;8279804004;1110;651;7;5;639;58,20%;59;9,13%;102;15,79%;42;6,50%;104;16,10%;42;6,50%;175;27,09%;13;2,01%;95;14,71%;7;0.0110
Municipals;2015;4;5;8279804005;1262;647;22;4;621;50,95%;66;10,26%;99;15,40%;67;10,42%;99;15,40%;28;4,35%;142;22,08%;4;0,62%;107;16,64%;9;0.0145
Municipals;2015;4;6;8279804006;1406;781;17;2;762;55,41%;89;11,42%;52;6,68%;42;5,39%;83;10,65%;43;5,52%;250;32,09%;21;2,70%;170;21,82%;12;0.0157
Municipals;2015;4;7;8279804007;1871;922;22;6;894;48,96%;117;12,77%;63;6,88%;42;4,59%;79;8,62%;41;4,48%;311;33,95%;27;2,95%;207;22,60%;7;0.0078
Municipals;2015;4;8;8279804008;946;508;10;7;491;52,96%;57;11,38%;37;7,39%;36;7,19%;38;7,58%;28;5,59%;140;27,94%;19;3,79%;126;25,15%;10;0.0204
Municipals;2015;4;9;8279804009;749;356;5;0;351;47,53%;47;13,20%;5;1,40%;7;1,97%;17;4,78%;30;8,43%;143;40,17%;13;3,65%;85;23,88%;4;0.0114
Municipals;2015;4;10;8279804010;733;366;6;3;357;49,52%;36;9,92%;12;3,31%;8;2,20%;19;5,23%;29;7,99%;165;45,45%;7;1,93%;76;20,94%;5;0.0140
Municipals;2015;4;12;8279804012;982;546;6;7;533;54,89%;49;9,09%;51;9,46%;42;7,79%;79;14,66%;29;5,38%;154;28,57%;13;2,41%;113;20,96%;3;0.0056
