Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;Cs;% Cs;CUP;% CUP;ERC;% ERC;Junts;% Junts;Podem;% Podem;PP;% PP;PRIMARIES;% PRIMARIES;PSC;% PSC;TEC;% TEC;TxT;% TxT;VOX;% VOX;Altres;% Altres
Municipals;2019;5;9;8279805009;1378;962;2;1;959;961;69.74;63;6.56;41;4.27;147;15.3;69;7.18;34;3.54;41;4.27;9;0.94;214;22.27;71;7.39;250;26.01;20;2.08;0;0
Municipals;2019;5;10;8279805010;1411;825;4;3;818;822;58.26;76;9.25;13;1.58;54;6.57;19;2.31;36;4.38;39;4.74;4;0.49;271;32.97;38;4.62;245;29.81;20;2.43;3;0.0037
Municipals;2019;5;11;8279805011;1449;975;0;0;975;975;67.29;72;7.38;26;2.67;158;16.21;67;6.87;24;2.46;33;3.38;14;1.44;201;20.62;56;5.74;304;31.18;18;1.85;2;0.0021
Municipals;2019;5;12;8279805012;584;370;1;0;369;370;63.36;17;4.59;15;4.05;66;17.84;16;4.32;11;2.97;10;2.7;2;0.54;108;29.19;19;5.14;96;25.95;7;1.89;2;0.0054
Municipals;2019;5;13;8279805013;1164;631;0;1;630;630;54.12;68;10.79;10;1.59;68;10.79;22;3.49;16;2.54;25;3.97;5;0.79;145;23.02;33;5.24;206;32.7;25;3.97;7;0.0111
Municipals;2019;5;14;8279805014;1578;1015;5;4;1006;1011;64.07;92;9.1;28;2.77;133;13.16;27;2.67;43;4.25;31;3.07;5;0.49;258;25.52;51;5.04;317;31.36;19;1.88;2;0.002
Municipals;2019;5;15;8279805015;1508;801;3;2;796;799;52.98;65;8.14;20;2.5;96;12.02;33;4.13;38;4.76;22;2.75;5;0.63;212;26.53;40;5.01;238;29.79;26;3.25;1;0.0013
Municipals;2019;5;16;8279805016;1894;1023;10;3;1010;1020;53.85;90;8.82;30;2.94;100;9.8;28;2.75;36;3.53;35;3.43;2;0.2;277;27.16;41;4.02;353;34.61;17;1.67;1;0.001
Municipals;2019;5;17;8279805017;1327;882;4;1;877;881;66.39;74;8.4;22;2.5;120;13.62;55;6.24;36;4.09;9;1.02;5;0.57;190;21.57;39;4.43;305;34.62;20;2.27;2;0.0023
Municipals;2019;5;18;8279805018;996;668;2;1;665;667;66.97;50;7.5;14;2.1;45;6.75;14;2.1;23;3.45;30;4.5;3;0.45;235;35.23;27;4.05;211;31.63;10;1.5;3;0.0045
Municipals;2019;5;19;8279805019;916;545;1;1;543;544;59.39;46;8.46;38;6.99;79;14.52;32;5.88;18;3.31;11;2.02;3;0.55;86;15.81;29;5.33;186;34.19;15;2.76;0;0
Municipals;2019;5;20;8279805020;1190;799;4;0;795;799;67.14;39;4.88;30;3.75;167;20.9;60;7.51;19;2.38;29;3.63;17;2.13;133;16.65;61;7.63;225;28.16;14;1.75;1;0.0013
Municipals;2019;5;21;8279805021;1399;900;4;4;892;896;64.05;71;7.92;30;3.35;127;14.17;44;4.91;39;4.35;47;5.25;9;1;222;24.78;42;4.69;233;26;23;2.57;5;0.0056
Municipals;2019;5;22;8279805022;566;349;0;0;349;349;61.66;28;8.02;11;3.15;43;12.32;20;5.73;11;3.15;14;4.01;5;1.43;65;18.62;20;5.73;125;35.82;5;1.43;2;0.0057
Municipals;2019;5;23;8279805023;1270;841;3;0;838;841;66.22;39;4.64;42;4.99;182;21.64;98;11.65;29;3.45;14;1.66;16;1.9;111;13.2;58;6.9;230;27.35;14;1.66;5;0.006
Municipals;2019;5;24;8279805024;1192;773;5;0;768;773;64.85;72;9.31;19;2.46;108;13.97;30;3.88;32;4.14;22;2.85;9;1.16;159;20.57;31;4.01;270;34.93;11;1.42;5;0.0065
Municipals;2019;5;25;8279805025;909;561;2;1;558;560;61.61;26;4.64;12;2.14;74;13.21;20;3.57;19;3.39;16;2.86;5;0.89;159;28.39;24;4.29;193;34.46;10;1.79;0;0
Municipals;2019;5;26;8279805026;1000;691;1;1;689;690;69;54;7.83;31;4.49;125;18.12;78;11.3;19;2.75;19;2.75;17;2.46;112;16.23;36;5.22;185;26.81;7;1.01;6;0.0087
Municipals;2019;5;27;8279805027;927;660;8;0;652;660;71.2;49;7.42;33;5;121;18.33;63;9.55;27;4.09;14;2.12;15;2.27;99;15;19;2.88;202;30.61;10;1.52;0;0
Municipals;2019;5;28;8279805028;899;633;1;1;631;632;70.3;70;11.08;11;1.74;51;8.07;29;4.59;27;4.27;15;2.37;9;1.42;179;28.32;27;4.27;201;31.8;11;1.74;1;0.0016
Municipals;2019;5;29;8279805029;905;630;9;1;620;629;69.5;43;6.84;10;1.59;84;13.35;29;4.61;42;6.68;13;2.07;6;0.95;134;21.3;34;5.41;201;31.96;23;3.66;1;0.0016
Municipals;2019;6;1;8279806001;900;561;0;1;560;560;62.22;60;10.71;11;1.96;69;12.32;19;3.39;22;3.93;12;2.14;2;0.36;186;33.21;15;2.68;145;25.89;19;3.39;0;0
Municipals;2019;6;2;8279806002;1188;656;5;1;650;655;55.13;68;10.38;23;3.51;66;10.08;29;4.43;35;5.34;13;1.98;1;0.15;151;23.05;27;4.12;198;30.23;39;5.95;0;0
Municipals;2019;6;3;8279806003;1491;827;3;1;823;826;55.4;77;9.32;20;2.42;67;8.11;19;2.3;36;4.36;48;5.81;3;0.36;228;27.6;49;5.93;247;29.9;27;3.27;2;0.0024
Municipals;2019;6;4;8279806004;893;455;1;1;453;454;50.84;57;12.56;21;4.63;39;8.59;19;4.19;16;3.52;27;5.95;2;0.44;113;24.89;13;2.86;133;29.3;11;2.42;2;0.0044
Municipals;2019;6;5;8279806005;1087;607;2;4;601;603;55.47;46;7.63;20;3.32;62;10.28;19;3.15;33;5.47;14;2.32;3;0.5;130;21.56;34;5.64;218;36.15;22;3.65;0;0
Municipals;2019;6;6;8279806006;1156;590;6;2;582;588;50.87;82;13.95;8;1.36;49;8.33;4;0.68;20;3.4;22;3.74;1;0.17;118;20.07;20;3.4;230;39.12;27;4.59;1;0.0017
Municipals;2019;6;8;8279806008;1672;1003;7;4;992;999;59.75;71;7.11;56;5.61;174;17.42;62;6.21;47;4.7;21;2.1;10;1;185;18.52;42;4.2;301;30.13;22;2.2;1;0.001
Municipals;2019;6;9;8279806009;936;567;4;0;563;567;60.58;63;11.11;1;0.18;71;12.52;14;2.47;18;3.17;19;3.35;2;0.35;135;23.81;26;4.59;195;34.39;19;3.35;0;0
Municipals;2019;6;10;8279806010;1629;1002;8;1;993;1001;61.45;110;10.99;24;2.4;94;9.39;25;2.5;37;3.7;36;3.6;7;0.7;285;28.47;61;6.09;289;28.87;25;2.5;0;0
